Timestamp,What is your UNCC student ID?,What class is this team assignment for?,What is your year in school?,Which days are you generally available to meet with your team?,What time(s) of day are you available?,How many hours per week can you realistically dedicate to group project work?,Do you prefer to meet in person or remotely?,Python / programming,"Data analysis (pandas, spreadsheets, SQL)",Statistics and math,"Data visualization (matplotlib, Tableau, etc.)",Machine learning / modeling,Technical writing and documentation,Research and literature review,Presentations and public speaking,What role do you naturally gravitate toward in a group?,How do you typically approach deadlines?,How do you prefer to communicate with your team? (pick primary),How often do you prefer to check in with teammates?,"When working on a group project, I prefer to...",I tend to focus on...,My approach to conflict in a team is...,What is your GPA range? (Optional),What do you most contribute to a team? (Select up to 2),What is your biggest challenge in group projects?
2026/05/15 9:00:00 AM,800000001,DTSC 2302,Senior,"Friday, Sunday","Evening, Late night",10+ hours,In person only,2,2,2,4,2,5,5,5,I prefer to lead and coordinate,"I work best under pressure, closer to the deadline",In person,A few times a week,Collaborate closely throughout,5,Let it resolve naturally,Prefer not to say,"Technical execution, Quality checking / editing",Unequal workload distribution
2026/05/15 10:02:00 AM,800000002,DTSC 2302,Sophomore,"Tuesday, Wednesday, Friday","Morning, Afternoon",10+ hours,No preference,4,4,4,3,3,2,1,3,I prefer to contribute as a specialist,I finish well before the deadline,Email,Daily,A mix — divide tasks but check in regularly,3,Talk it out privately first,3.0 – 3.5,"Research and writing, Organization and planning",Coordinating schedules
2026/05/15 11:04:00 AM,800000003,DTSC 2302,Senior,"Tuesday, Thursday, Saturday","Morning, Afternoon",6–9 hours,No preference,3,2,3,4,3,2,3,3,I prefer to lead and coordinate,I finish well before the deadline,"Video call (Zoom, Teams)",A few times a week,Work independently and combine at the end,2,Defer to whoever is leading,Below 2.5,Quality checking / editing,Coordinating schedules
2026/05/15 12:06:00 AM,800000004,DTSC 2302,Freshman,"Monday, Wednesday, Friday, Saturday","Morning, Late night",10+ hours,In person only,2,3,3,4,2,4,4,4,I'm comfortable in either role,I finish well before the deadline,Email,Only when necessary,Collaborate closely throughout,3,Talk it out privately first,2.5 – 3.0,"Keeping team morale up, Technical execution",Disagreements on direction
2026/05/15 13:08:00 AM,800000005,DTSC 2302,Sophomore,"Wednesday, Thursday, Friday, Sunday",Evening,3–5 hours,No preference,2,2,2,4,1,4,5,5,I prefer to lead and coordinate,I finish well before the deadline,Email,A few times a week,Collaborate closely throughout,5,Defer to whoever is leading,2.5 – 3.0,Technical execution,Staying motivated
2026/05/15 14:10:00 AM,800000006,DTSC 2302,Junior,"Thursday, Sunday",Evening,3–5 hours,No preference,2,3,3,3,3,5,4,5,I prefer to follow clear instructions,"I work best under pressure, closer to the deadline",Text/iMessage,Only when necessary,Collaborate closely throughout,3,Address it directly and immediately,Prefer not to say,Technical execution,Unequal workload distribution
2026/05/15 15:12:00 AM,800000007,DTSC 2302,Freshman,"Wednesday, Thursday, Friday, Sunday","Morning, Evening",Less than 3 hours,In person only,3,4,3,3,4,3,4,4,I prefer to lead and coordinate,I finish well before the deadline,Discord/Slack,Only when necessary,Work independently and combine at the end,2,Talk it out privately first,Prefer not to say,Technical execution,Communication breakdowns
2026/05/15 16:14:00 AM,800000008,DTSC 2302,Graduate,"Wednesday, Thursday",Late night,6–9 hours,Remote only,2,4,2,3,3,5,4,5,I prefer to contribute as a specialist,I work steadily throughout,Text/iMessage,Once a week,Collaborate closely throughout,4,Address it directly and immediately,3.5 – 4.0,Technical execution,Disagreements on direction
2026/05/15 17:16:00 AM,800000009,DTSC 2302,Graduate,"Wednesday, Friday",Late night,10+ hours,No preference,3,3,3,4,2,5,5,5,I prefer to contribute as a specialist,"I work best under pressure, closer to the deadline",In person,Only when necessary,Collaborate closely throughout,2,Address it directly and immediately,Prefer not to say,Keeping team morale up,Coordinating schedules
2026/05/15 18:18:00 AM,800000010,DTSC 2302,Sophomore,"Tuesday, Wednesday, Thursday","Morning, Evening",Less than 3 hours,Remote only,3,4,2,3,2,2,4,3,I prefer to follow clear instructions,"I work best under pressure, closer to the deadline",In person,Once a week,Collaborate closely throughout,3,Talk it out privately first,3.0 – 3.5,"Creative ideas, Organization and planning",Coordinating schedules
2026/05/15 19:20:00 AM,800000011,DTSC 2302,Junior,"Monday, Tuesday","Morning, Afternoon",10+ hours,Remote only,5,5,4,3,5,2,1,2,I prefer to contribute as a specialist,I finish well before the deadline,Discord/Slack,Daily,A mix — divide tasks but check in regularly,1,Address it directly and immediately,3.5 – 4.0,Creative ideas,Disagreements on direction
2026/05/15 20:22:00 AM,800000012,DTSC 2302,Freshman,"Wednesday, Thursday, Saturday, Sunday","Evening, Late night",6–9 hours,Remote only,1,2,2,3,2,5,5,5,I prefer to follow clear instructions,I work steadily throughout,Email,Once a week,Collaborate closely throughout,1,Let it resolve naturally,Prefer not to say,Technical execution,Communication breakdowns
2026/05/15 9:24:00 AM,800000013,DTSC 2302,Junior,"Saturday, Sunday",Late night,Less than 3 hours,Remote only,3,3,3,3,4,2,3,3,I prefer to contribute as a specialist,"I work best under pressure, closer to the deadline","Video call (Zoom, Teams)",A few times a week,A mix — divide tasks but check in regularly,2,Talk it out privately first,Below 2.5,"Quality checking / editing, Creative ideas",Unequal workload distribution
2026/05/15 10:26:00 AM,800000014,DTSC 2302,Junior,"Wednesday, Friday",Morning,10+ hours,Remote only,5,5,4,2,4,2,3,2,I'm comfortable in either role,I finish well before the deadline,Discord/Slack,Daily,Collaborate closely throughout,5,Address it directly and immediately,3.5 – 4.0,Technical execution,Staying motivated
2026/05/15 11:28:00 AM,800000015,DTSC 2302,Junior,"Wednesday, Thursday, Friday, Sunday","Evening, Late night",6–9 hours,No preference,2,3,1,4,1,5,5,5,I'm comfortable in either role,I finish well before the deadline,Email,Once a week,Collaborate closely throughout,4,Defer to whoever is leading,2.5 – 3.0,Quality checking / editing,Staying motivated
2026/05/15 12:30:00 AM,800000016,DTSC 2302,Sophomore,"Monday, Tuesday, Wednesday, Thursday","Morning, Afternoon",3–5 hours,No preference,5,5,3,3,4,2,3,2,I'm comfortable in either role,I finish well before the deadline,Email,Once a week,Work independently and combine at the end,1,Address it directly and immediately,2.5 – 3.0,"Research and writing, Quality checking / editing",Communication breakdowns
2026/05/15 13:32:00 AM,800000017,DTSC 2302,Freshman,"Thursday, Sunday",Afternoon,10+ hours,In person only,2,4,4,3,4,4,4,3,I prefer to contribute as a specialist,"I work best under pressure, closer to the deadline","Video call (Zoom, Teams)",Once a week,A mix — divide tasks but check in regularly,5,Let it resolve naturally,3.5 – 4.0,Quality checking / editing,Staying motivated
2026/05/15 14:34:00 AM,800000018,DTSC 2302,Junior,"Monday, Wednesday, Friday","Morning, Afternoon",10+ hours,In person only,5,5,4,4,5,2,2,2,I prefer to contribute as a specialist,I finish well before the deadline,Email,Once a week,A mix — divide tasks but check in regularly,2,Talk it out privately first,Below 2.5,"Quality checking / editing, Creative ideas",Communication breakdowns
2026/05/15 15:36:00 AM,800000019,DTSC 2302,Senior,"Monday, Wednesday, Saturday","Evening, Late night",3–5 hours,Remote only,4,3,4,4,2,3,4,4,I prefer to contribute as a specialist,I work steadily throughout,"Video call (Zoom, Teams)",Daily,Work independently and combine at the end,4,Let it resolve naturally,3.5 – 4.0,Keeping team morale up,Unequal workload distribution
2026/05/15 16:38:00 AM,800000020,DTSC 2302,Junior,"Tuesday, Wednesday, Thursday","Morning, Afternoon",6–9 hours,Remote only,5,5,3,4,3,1,3,2,I'm comfortable in either role,I finish well before the deadline,Text/iMessage,Daily,Work independently and combine at the end,5,Address it directly and immediately,3.0 – 3.5,"Creative ideas, Technical execution",Unequal workload distribution
2026/05/15 17:40:00 AM,800000021,DTSC 2302,Freshman,"Thursday, Friday, Saturday, Sunday","Evening, Late night",3–5 hours,Remote only,1,2,1,3,2,4,5,5,I prefer to follow clear instructions,I finish well before the deadline,Text/iMessage,A few times a week,Collaborate closely throughout,5,Defer to whoever is leading,3.5 – 4.0,Research and writing,Unequal workload distribution
2026/05/15 18:42:00 AM,800000022,DTSC 2302,Junior,"Thursday, Friday",Afternoon,6–9 hours,No preference,4,5,3,3,3,1,2,3,I prefer to lead and coordinate,I finish well before the deadline,Email,Daily,Work independently and combine at the end,5,Let it resolve naturally,Prefer not to say,"Technical execution, Keeping team morale up",Staying motivated
2026/05/15 19:44:00 AM,800000023,DTSC 2302,Graduate,"Monday, Tuesday, Wednesday, Thursday","Morning, Afternoon",3–5 hours,Remote only,5,5,5,3,4,2,1,2,I'm comfortable in either role,I finish well before the deadline,Discord/Slack,A few times a week,Collaborate closely throughout,3,Address it directly and immediately,Prefer not to say,"Creative ideas, Research and writing",Unequal workload distribution
2026/05/15 20:46:00 AM,800000024,DTSC 2302,Junior,"Thursday, Saturday",Evening,6–9 hours,Remote only,2,3,4,4,3,4,4,4,I'm comfortable in either role,I work steadily throughout,In person,A few times a week,A mix — divide tasks but check in regularly,4,Let it resolve naturally,3.0 – 3.5,Technical execution,Disagreements on direction
